rank,score,vendor,slug,model,u_height,category,image_coverage,netbox_path,rationale
"1","62","Ubiquiti","ubiquiti-unifi-wan-switch-rj45","Unifi WAN Switch RJ45","1","network","both","device-types/Ubiquiti/USW-WAN-RJ45.yaml","network, front+rear image, 1U footprint"
"2","62","MikroTik","mikrotik-crs112-8p-4s-in","CRS112-8P-4S-IN","1","network","both","device-types/MikroTik/CRS112-8P-4S-IN.yaml","network, front+rear image, 1U footprint"
"3","61","APC","apc-ap4424a","AP4424A","2","power","both","device-types/APC/AP4424A.yaml","power, front+rear image, 2U footprint"
"4","52","Eaton","eaton-tripp-lite-pdumh15at","Tripp Lite PDUMH15AT","1","power","both","device-types/Eaton/Tripp-Lite-PDUMH15AT.yaml","power, front+rear image, 1U footprint"
"5","52","Dell","dell-powerswitch-n2048","PowerSwitch N2048","1","network","both","device-types/Dell/PowerSwitch-N2048.yaml","network, front+rear image, 1U footprint"
"6","51","Supermicro","supermicro-sys-6029p-tr","SuperServer 6029P-TR","2","server","both","device-types/Supermicro/SYS-6029P-TR.yaml","server, front+rear image, 2U footprint"
"7","52","HPE","hpe-aruba-3810m-24g-1-slot-switch","Aruba 3810M 24G 1-slot Switch","1","network","both","device-types/HPE/Aruba-3810M-24G-1-slot-Switch.yaml","network, front+rear image, 1U footprint"
"8","42","Lenovo","lenovo-thinksystem-sr850-v2","ThinkSystem SR850 V2","2","server","both","device-types/Lenovo/ThinkSystem-SR850-v2.yaml","server, front+rear image, 2U footprint"
"9","51","Netgear","netgear-prosafe-gs510tpp","ProSafe GS510TPP","1","network","both","device-types/Netgear/ProSafe-GS510TPP.yaml","network, front+rear image, 1U footprint"
"10","43","Fortinet","fortinet-fs-1024e","FortiSwitch 1024E","1","network","both","device-types/Fortinet/FS-1024E.yaml","network, front+rear image, 1U footprint"
"11","42","Palo Alto","palo-alto-pa-5410","PA-5410","2","network","both","device-types/Palo Alto/PA-5410.yaml","network, front+rear image, 2U footprint"
"12","41","Juniper","juniper-ex2300-48p","EX2300-48P","1","network","both","device-types/Juniper/EX2300-48P.yaml","network, front+rear image, 1U footprint"
"13","41","Cisco","cisco-c1000-48t-4g-l","Catalyst 1000-48T-4G-L","1","network","both","device-types/Cisco/C1000-48T-4G-L.yaml","network, front+rear image, 1U footprint"
"14","41","Arista","arista-dcs-7020sr-24c2-f","DCS-7020SR-24C2-F","1","network","both","device-types/Arista/DCS-7020SR-24C2-F.yaml","network, front+rear image, 1U footprint"
